iter	Logloss
0	0.6719823282
1	0.6538887371
2	0.6372348321
3	0.6221632252
4	0.6087326968
5	0.595419363
6	0.5844949488
7	0.5686237631
8	0.558659694
9	0.5495568234
10	0.5423789313
11	0.5364251396
12	0.5250745713
13	0.5192904108
14	0.5121814094
15	0.505098506
16	0.5006806109
17	0.4954639993
18	0.4905234406
19	0.4858595492
20	0.4804135885
21	0.4770528144
22	0.4733916627
23	0.4697921447
24	0.4642443398
25	0.4614360015
26	0.4545919975
27	0.4502188359
28	0.4476417129
29	0.4443731367
30	0.4411007976
31	0.4380733392
32	0.4331812891
33	0.4314084908
34	0.4293436461
35	0.4270397896
36	0.4252592726
37	0.4234498611
38	0.4214434017
39	0.4189418109
40	0.4175184099
41	0.4160560464
42	0.414432861
43	0.4129547063
44	0.4114080095
45	0.4102426738
46	0.408303868
47	0.4072669872
48	0.4055267813
49	0.4046001012
50	0.4033297414
51	0.4018540894
52	0.400617451
53	0.3996730671
54	0.3981197587
55	0.3969677796
56	0.3960532341
57	0.3944298684
58	0.3935264124
59	0.3923524991
60	0.3911752297
61	0.3892323387
62	0.3881460969
63	0.3862189763
64	0.3855646318
65	0.3843919778
66	0.3814241742
67	0.3807245267
68	0.3796589693
69	0.3774691605
70	0.3750491309
71	0.3739753971
72	0.3733927657
73	0.3707955591
74	0.3695708872
75	0.3688793944
76	0.3683995175
77	0.3676650125
78	0.3670264685
79	0.3665341827
80	0.3654387421
81	0.3645950465
82	0.3639754271
83	0.3634445771
84	0.362963003
85	0.3621547303
86	0.361119885
87	0.3592082172
88	0.3584215376
89	0.3574207278
90	0.3568958861
91	0.3564754722
92	0.3559069321
93	0.35504839
94	0.3546604866
95	0.3542871395
96	0.353859092
97	0.3532243471
98	0.3525888884
99	0.352138571
100	0.3515106525
101	0.3511209788
102	0.3507870604
103	0.3501264638
104	0.3497466638
105	0.3484021712
106	0.3477817512
107	0.3472869819
108	0.3469618986
109	0.3464885714
110	0.345052796
111	0.3434151068
112	0.342823026
113	0.3424401131
114	0.3420809401
115	0.3416169723
116	0.3408781332
117	0.3404785949
118	0.3397283756
119	0.3393115859
120	0.338958838
121	0.3386459904
122	0.3370493693
123	0.3361438373
124	0.3355186959
125	0.335234419
126	0.3348739248
127	0.3341072308
128	0.3336078886
129	0.3333812613
130	0.3330456857
131	0.3326946611
132	0.3320685499
133	0.3316718651
134	0.331323289
135	0.3307805492
136	0.3305001926
137	0.3301086715
138	0.3298678784
139	0.329666278
140	0.329450686
