iter	Logloss
0	0.6745715437
1	0.6603879633
2	0.6474737666
3	0.6326166362
4	0.6199059131
5	0.6093193722
6	0.6004821744
7	0.5930097312
8	0.5847422133
9	0.5767034072
10	0.5693861333
11	0.5634409932
12	0.5573853097
13	0.5500005479
14	0.5439248029
15	0.5390389695
16	0.5339867938
17	0.5283617471
18	0.5247827971
19	0.5202823885
20	0.516076744
21	0.512325469
22	0.5086988471
23	0.5050132736
24	0.5017707822
25	0.4983530405
26	0.4954587579
27	0.4921801763
28	0.4891267337
29	0.4863591482
30	0.4827086595
31	0.4800681856
32	0.4776975239
33	0.4741132672
34	0.4717370812
35	0.4691527103
36	0.4667518303
37	0.4650709497
38	0.4625413827
39	0.4611145533
40	0.458753276
41	0.4556331815
42	0.4538480536
43	0.4522082105
44	0.4503119597
45	0.4488618285
46	0.4472257168
47	0.4449073313
48	0.4431092894
49	0.4417877994
50	0.4402885352
51	0.438943087
52	0.4376472865
53	0.4365254756
54	0.4348777041
55	0.4335692778
56	0.4322250745
57	0.4309524141
58	0.429799511
59	0.4283482307
60	0.4271796469
61	0.4259444567
62	0.4251677476
63	0.4238686809
64	0.4223741841
65	0.4212742622
66	0.4203429491
67	0.4189256886
68	0.4179801678
69	0.4169413057
70	0.4154177922
71	0.4145176883
72	0.4136706288
73	0.4127120277
74	0.4120157462
75	0.411229884
76	0.4105049954
77	0.4096840326
78	0.4088285045
79	0.4078687999
80	0.4068657296
81	0.4058124988
82	0.4046912755
83	0.4041325092
84	0.4035507426
85	0.4028498753
86	0.4021590076
87	0.4014858476
88	0.4005791744
89	0.3999179692
90	0.3990991503
91	0.3984902659
92	0.3977466743
93	0.3971910591
94	0.3965108435
95	0.3960066604
96	0.395329489
97	0.3947429374
98	0.3941934387
99	0.3935963453
100	0.3931735528
101	0.3924998649
102	0.3918750972
103	0.3910788373
104	0.3905228287
105	0.3899309341
106	0.3893367063
107	0.3890007107
108	0.3885960365
109	0.3881991493
110	0.3876741101
111	0.386882097
112	0.3863230286
113	0.3858495508
114	0.3850682164
115	0.3845685034
116	0.3839515945
117	0.3833844353
118	0.382649803
119	0.382430008
120	0.3820481079
121	0.3814538706
122	0.3810650413
123	0.3803867889
124	0.3800210683
125	0.3794615596
126	0.3790579679
127	0.3786260334
128	0.378200148
129	0.3778521551
130	0.3774778745
131	0.3770104718
132	0.3767740726
133	0.3760060557
134	0.3756846624
135	0.3754539348
136	0.3749996087
137	0.374787755
138	0.3745118936
139	0.3741740175
140	0.3738388711
141	0.3733709533
142	0.373052567
143	0.3724521429
144	0.3722276441
145	0.3719237733
146	0.3713388102
147	0.3710861103
148	0.3706550153
149	0.370265223
150	0.3698115164
151	0.3695068617
152	0.3692054209
153	0.368862734
154	0.3685073774
155	0.3682023413
156	0.3679099566
157	0.3674344004
158	0.366962656
159	0.3666135914
160	0.3663866261
161	0.3660480024
162	0.3657152555
163	0.365405473
164	0.3651273667
165	0.3648713155
166	0.3646409952
167	0.3640559949
168	0.3637722332
169	0.3634020316
170	0.3631147753
171	0.3627036987
172	0.3624954864
173	0.3622494819
174	0.361943879
175	0.3617594964
176	0.3613189884
177	0.3611265913
178	0.3609355083
179	0.3605526116
180	0.3603107236
181	0.3600549405
182	0.3599399342
183	0.359715149
184	0.3595221014
185	0.3593229598
186	0.359052668
187	0.3588671729
188	0.3584813599
189	0.3582921904
190	0.3580828029
191	0.3578233412
192	0.3575731726
193	0.357163101
194	0.3570011523
195	0.3567203269
196	0.3564673779
197	0.3561197197
198	0.3558896123
199	0.3557406229
200	0.3556173567
201	0.3553413787
202	0.3551968707
203	0.354896329
204	0.3547990942
205	0.3546758967
206	0.3544076264
207	0.3543316126
208	0.3541064596
209	0.353920153
210	0.3537491871
211	0.3533243345
212	0.3531452173
213	0.3529346699
214	0.352767876
215	0.3526307019
216	0.3524067402
217	0.3521177544
218	0.3517412023
219	0.3514642433
220	0.3511538114
221	0.3508149494
222	0.3505213575
223	0.350305395
224	0.3501169193
225	0.3497277066
226	0.349454366
227	0.3492257652
228	0.3490359301
229	0.3489030395
230	0.3487933501
231	0.3484441813
232	0.3481217382
233	0.3479090181
234	0.3477977033
235	0.347631662
236	0.3473192244
237	0.3469872442
238	0.3467825207
239	0.3464950565
240	0.3463433949
241	0.3461763609
242	0.3460575459
243	0.3458085315
244	0.3456070261
245	0.3453258561
246	0.3450334632
247	0.3448670988
248	0.3447238227
249	0.344587527
250	0.3443933499
251	0.3441020181
252	0.3439421857
253	0.3437435957
254	0.343523421
255	0.3434269716
256	0.343265532
257	0.3431006753
258	0.3428179649
259	0.3426025997
260	0.3424618802
261	0.3421347931
262	0.3418498947
263	0.3417094905
264	0.3415964055
265	0.3414181727
266	0.3411805736
267	0.3410654769
268	0.3408839388
269	0.3406520451
270	0.3403787497
271	0.340178371
272	0.3399902
273	0.3398060964
274	0.3396595921
275	0.3395053677
276	0.33935293
277	0.3391030259
278	0.3389317741
279	0.3387088181
280	0.3386137892
